# Time-averaged data for fix 42
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
2000 1000
1 0.0031825 0 0
2 0.0095475 0 0
3 0.0159125 0 0
4 0.0222775 0 0
5 0.0286425 0 0
6 0.0350075 0 0
7 0.0413725 0 0
8 0.0477375 0 0
9 0.0541025 0 0
10 0.0604675 0 0
11 0.0668325 0 0
12 0.0731975 0 0
13 0.0795625 0 0
14 0.0859275 0 0
15 0.0922925 0 0
16 0.0986575 0 0
17 0.105022 0 0
18 0.111387 0 0
19 0.117752 0 0
20 0.124118 0 0
21 0.130482 0 0
22 0.136848 0 0
23 0.143213 0 0
24 0.149577 0 0
25 0.155943 0 0
26 0.162308 0 0
27 0.168672 0 0
28 0.175038 0 0
29 0.181403 0 0
30 0.187767 0 0
31 0.194132 0 0
32 0.200498 0 0
33 0.206862 0 0
34 0.213227 0 0
35 0.219592 0 0
36 0.225957 0 0
37 0.232322 0 0
38 0.238688 0 0
39 0.245052 0 0
40 0.251417 0 0
41 0.257783 0 0
42 0.264147 0 0
43 0.270512 0 0
44 0.276878 0 0
45 0.283243 0 0
46 0.289607 0 0
47 0.295973 0 0
48 0.302338 0 0
49 0.308702 0 0
50 0.315068 0 0
51 0.321433 0 0
52 0.327797 0 0
53 0.334163 0 0
54 0.340528 0 0
55 0.346892 0 0
56 0.353258 0 0
57 0.359623 0 0
58 0.365987 0 0
59 0.372353 0 0
60 0.378718 0 0
61 0.385083 0 0
62 0.391448 0 0
63 0.397813 0 0
64 0.404178 0 0
65 0.410542 0 0
66 0.416908 0 0
67 0.423273 0 0
68 0.429637 0 0
69 0.436003 0 0
70 0.442368 0 0
71 0.448732 0 0
72 0.455098 0 0
73 0.461463 0 0
74 0.467827 0 0
75 0.474193 0 0
76 0.480558 0 0
77 0.486922 0 0
78 0.493288 0 0
79 0.499653 0 0
80 0.506017 0 0
81 0.512383 0 0
82 0.518748 0 0
83 0.525112 0 0
84 0.531478 0 0
85 0.537842 0 0
86 0.544207 0 0
87 0.550573 0 0
88 0.556937 0 0
89 0.563302 0 0
90 0.569668 0 0
91 0.576032 0 0
92 0.582397 0 0
93 0.588763 0 0
94 0.595127 0 0
95 0.601492 0 0
96 0.607858 0 0
97 0.614222 0 0
98 0.620587 0 0
